# rig: synthetic-bench-B  specimen: sample-003
# sampled 2 Hz  units: s, kN, microstrain  delimiter: comma
time_s,load_kN,ch01_ue,ch02_ue,ch03_ue,ch04_ue
0.0,0.0,0.0,2.0,0.0,-1.0
0.5,2.5,105.0,-95.2,31.9,70.7
1.0,5.0,207.7,-193.3,59.9,138.5
1.5,7.5,307.9,-290.7,91.1,210.2
2.0,10.0,407.7,-386.3,123.5,278.2
2.5,12.5,509.6,-480.7,151.7,349.5
3.0,15.0,614.2,-575.6,182.2,417.8
3.5,17.5,719.5,-672.2,215.0,488.8
4.0,20.0,823.0,-770.3,243.6,557.6
4.5,22.5,923.7,-868.1,273.4,628.0
5.0,25.0,1023.4,-964.2,306.4,697.3
5.5,27.5,1124.5,-1058.7,335.5,767.3
6.0,30.0,1228.4,-1153.3,364.6,837.1
6.5,32.5,1333.8,-1249.4,397.6,906.5
7.0,35.0,1438.0,-1347.2,427.4,976.9
7.5,37.5,1539.5,-1445.3,456.0,1045.7
8.0,40.0,1639.1,-1541.9,488.8,1116.6
8.5,42.5,1739.6,-1636.8,519.3,1185.0
9.0,45.0,1842.7,-1731.2,547.5,1256.3
9.5,47.5,1947.9,-1826.8,579.9,1324.4
